task_id,model_family,model_variant,seed,split_id,metric_name,metric_value,metric_role
thpep,chemberta77m,ChemBERTa-77M-MTR,202,test,mcc,0.7151182620515381,primary
thpep,chemberta77m,ChemBERTa-77M-MTR,202,test,f1,0.8,primary
thpep,chemberta77m,ChemBERTa-77M-MTR,202,test,accuracy,0.8770491803278688,secondary
thpep,chemberta77m,ChemBERTa-77M-MTR,202,test,precision,0.75,secondary
thpep,chemberta77m,ChemBERTa-77M-MTR,202,test,recall,0.8571428571428571,secondary
thpep,chemberta77m,ChemBERTa-77M-MTR,202,test,auroc,0.935632183908046,primary
thpep,thpep,peptideclm-2-mlm-large,303,test,mcc,0.747361688610437,primary
thpep,thpep,peptideclm-2-mlm-large,303,test,f1,0.821917808219178,primary
thpep,thpep,peptideclm-2-mlm-large,303,test,accuracy,0.8934426229508197,secondary
thpep,thpep,peptideclm-2-mlm-large,303,test,precision,0.7894736842105263,secondary
thpep,thpep,peptideclm-2-mlm-large,303,test,recall,0.8571428571428571,secondary
thpep,thpep,peptideclm-2-mlm-large,303,test,auroc,0.9441707717569786,primary
thpep,thpep,peptideclm-2-mlm-large,101,test,mcc,0.741924299378989,primary
thpep,thpep,peptideclm-2-mlm-large,101,test,f1,0.8169014084507042,primary
thpep,thpep,peptideclm-2-mlm-large,101,test,accuracy,0.8934426229508197,secondary
thpep,thpep,peptideclm-2-mlm-large,101,test,precision,0.8055555555555556,secondary
thpep,thpep,peptideclm-2-mlm-large,101,test,recall,0.8285714285714286,secondary
thpep,thpep,peptideclm-2-mlm-large,101,test,auroc,0.9477832512315272,primary
thpep,thpep,peptideclm-2-mlm-large,202,test,mcc,0.7778793762650106,primary
thpep,thpep,peptideclm-2-mlm-large,202,test,f1,0.8395061728395061,primary
thpep,thpep,peptideclm-2-mlm-large,202,test,accuracy,0.8934426229508197,secondary
thpep,thpep,peptideclm-2-mlm-large,202,test,precision,0.7391304347826086,secondary
thpep,thpep,peptideclm-2-mlm-large,202,test,recall,0.9714285714285714,secondary
thpep,thpep,peptideclm-2-mlm-large,202,test,auroc,0.9550082101806241,primary
thpep,thpep,peptideclm-2-hybrid-large,303,test,mcc,0.7374807979510295,primary
thpep,thpep,peptideclm-2-hybrid-large,303,test,f1,0.8115942028985508,primary
thpep,thpep,peptideclm-2-hybrid-large,303,test,accuracy,0.8934426229508197,secondary
thpep,thpep,peptideclm-2-hybrid-large,303,test,precision,0.8235294117647058,secondary
thpep,thpep,peptideclm-2-hybrid-large,303,test,recall,0.8,secondary
thpep,thpep,peptideclm-2-hybrid-large,303,test,auroc,0.9385878489326765,primary
thpep,thpep,peptideclm-2-hybrid-large,101,test,mcc,0.7170083619772688,primary
thpep,thpep,peptideclm-2-hybrid-large,101,test,f1,0.8,primary
thpep,thpep,peptideclm-2-hybrid-large,101,test,accuracy,0.8688524590163934,secondary
thpep,thpep,peptideclm-2-hybrid-large,101,test,precision,0.7111111111111111,secondary
thpep,thpep,peptideclm-2-hybrid-large,101,test,recall,0.9142857142857143,secondary
thpep,thpep,peptideclm-2-hybrid-large,101,test,auroc,0.9211822660098522,primary
thpep,thpep,peptideclm-2-hybrid-large,202,test,mcc,0.7875345884272948,primary
thpep,thpep,peptideclm-2-hybrid-large,202,test,f1,0.8433734939759037,primary
thpep,thpep,peptideclm-2-hybrid-large,202,test,accuracy,0.8934426229508197,secondary
thpep,thpep,peptideclm-2-hybrid-large,202,test,precision,0.7291666666666666,secondary
thpep,thpep,peptideclm-2-hybrid-large,202,test,recall,1.0,secondary
thpep,thpep,peptideclm-2-hybrid-large,202,test,auroc,0.9589490968801313,primary
thpep,thpep,peptideclm-2-mtr-large,303,test,mcc,0.6704514944258996,primary
thpep,thpep,peptideclm-2-mtr-large,303,test,f1,0.7575757575757576,primary
thpep,thpep,peptideclm-2-mtr-large,303,test,accuracy,0.8688524590163934,secondary
thpep,thpep,peptideclm-2-mtr-large,303,test,precision,0.8064516129032258,secondary
thpep,thpep,peptideclm-2-mtr-large,303,test,recall,0.7142857142857143,secondary
thpep,thpep,peptideclm-2-mtr-large,303,test,auroc,0.9070607553366173,primary
thpep,thpep,peptideclm-2-mtr-large,101,test,mcc,0.6846692570542676,primary
thpep,thpep,peptideclm-2-mtr-large,101,test,f1,0.7792207792207793,primary
thpep,thpep,peptideclm-2-mtr-large,101,test,accuracy,0.860655737704918,secondary
thpep,thpep,peptideclm-2-mtr-large,101,test,precision,0.7142857142857143,secondary
thpep,thpep,peptideclm-2-mtr-large,101,test,recall,0.8571428571428571,secondary
thpep,thpep,peptideclm-2-mtr-large,101,test,auroc,0.9274220032840723,primary
thpep,thpep,peptideclm-2-mtr-large,202,test,mcc,0.7380486723155084,primary
thpep,thpep,peptideclm-2-mtr-large,202,test,f1,0.8157894736842105,primary
thpep,thpep,peptideclm-2-mtr-large,202,test,accuracy,0.8852459016393442,secondary
thpep,thpep,peptideclm-2-mtr-large,202,test,precision,0.7560975609756098,secondary
thpep,thpep,peptideclm-2-mtr-large,202,test,recall,0.8857142857142857,secondary
thpep,thpep,peptideclm-2-mtr-large,202,test,auroc,0.9376026272577996,primary
