task_id,model_family,model_variant,seed,split_id,metric_name,metric_value,metric_role
cellppd,chemberta77m,ChemBERTa-77M-MTR,101,test,auroc,0.9407555555555556,primary
cellppd,chemberta77m,ChemBERTa-77M-MTR,202,test,mcc,0.7767237968080913,primary
cellppd,chemberta77m,ChemBERTa-77M-MTR,202,test,f1,0.8811188811188811,primary
cellppd,chemberta77m,ChemBERTa-77M-MTR,202,test,accuracy,0.8866666666666667,secondary
cellppd,chemberta77m,ChemBERTa-77M-MTR,202,test,precision,0.9264705882352942,secondary
cellppd,chemberta77m,ChemBERTa-77M-MTR,202,test,recall,0.84,secondary
cellppd,chemberta77m,ChemBERTa-77M-MTR,202,test,auroc,0.948,primary
cellppd,cellppd,peptideclm-2-mlm-large,303,test,mcc,0.8711192161083637,primary
cellppd,cellppd,peptideclm-2-mlm-large,303,test,f1,0.9325068870523416,primary
cellppd,cellppd,peptideclm-2-mlm-large,303,test,accuracy,0.9346666666666666,secondary
cellppd,cellppd,peptideclm-2-mlm-large,303,test,precision,0.9643874643874644,secondary
cellppd,cellppd,peptideclm-2-mlm-large,303,test,recall,0.9026666666666666,secondary
cellppd,cellppd,peptideclm-2-mlm-large,303,test,auroc,0.9789813333333334,primary
cellppd,cellppd,peptideclm-2-mlm-large,101,test,mcc,0.8759869427311965,primary
cellppd,cellppd,peptideclm-2-mlm-large,101,test,f1,0.9341040462427745,primary
cellppd,cellppd,peptideclm-2-mlm-large,101,test,accuracy,0.9366666666666666,secondary
cellppd,cellppd,peptideclm-2-mlm-large,101,test,precision,0.9734939759036144,secondary
cellppd,cellppd,peptideclm-2-mlm-large,101,test,recall,0.8977777777777778,secondary
cellppd,cellppd,peptideclm-2-mlm-large,101,test,auroc,0.9832246913580247,primary
cellppd,cellppd,peptideclm-2-mlm-large,202,test,mcc,0.878036043364561,primary
cellppd,cellppd,peptideclm-2-mlm-large,202,test,f1,0.9374149659863945,primary
cellppd,cellppd,peptideclm-2-mlm-large,202,test,accuracy,0.9386666666666666,secondary
cellppd,cellppd,peptideclm-2-mlm-large,202,test,precision,0.9569444444444445,secondary
cellppd,cellppd,peptideclm-2-mlm-large,202,test,recall,0.9186666666666666,secondary
cellppd,cellppd,peptideclm-2-mlm-large,202,test,auroc,0.9807946666666666,primary
cellppd,cellppd,peptideclm-2-hybrid-large,303,test,mcc,0.8560273933148861,primary
cellppd,cellppd,peptideclm-2-hybrid-large,303,test,f1,0.927710843373494,primary
cellppd,cellppd,peptideclm-2-hybrid-large,303,test,accuracy,0.928,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,303,test,precision,0.9314516129032258,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,303,test,recall,0.924,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,303,test,auroc,0.9775253333333332,primary
cellppd,cellppd,peptideclm-2-hybrid-large,101,test,mcc,0.8625609602999391,primary
cellppd,cellppd,peptideclm-2-hybrid-large,101,test,f1,0.9287671232876712,primary
cellppd,cellppd,peptideclm-2-hybrid-large,101,test,accuracy,0.9306666666666666,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,101,test,precision,0.9549295774647887,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,101,test,recall,0.904,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,101,test,auroc,0.9754915555555554,primary
cellppd,cellppd,peptideclm-2-hybrid-large,202,test,mcc,0.8604755534678703,primary
cellppd,cellppd,peptideclm-2-hybrid-large,202,test,f1,0.9228591648973815,primary
cellppd,cellppd,peptideclm-2-hybrid-large,202,test,accuracy,0.9273333333333333,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,202,test,precision,0.9834087481146304,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,202,test,recall,0.8693333333333333,secondary
cellppd,cellppd,peptideclm-2-hybrid-large,202,test,auroc,0.9757653333333333,primary
