task_id,model_family,model_variant,seed,split_id,metric_name,metric_value,metric_role
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,101,test,accuracy,0.9073426573426572,secondary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,101,test,precision,0.8650871997367555,secondary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,101,test,recall,0.9751483679525222,secondary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,101,test,auroc,0.9551761778672772,primary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,202,test,mcc,0.8029652904652903,primary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,202,test,f1,0.908592947620678,primary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,202,test,accuracy,0.8962703962703963,secondary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,202,test,precision,0.8436109345200254,secondary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,202,test,recall,0.9844213649851632,secondary
amp_hgt,chemberta77m,ChemBERTa-77M-MTR,202,test,auroc,0.9506936746360992,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,303,test,mcc,0.8731508656985412,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,303,test,f1,0.9401834862385321,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,303,test,accuracy,0.9366744366744367,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,303,test,precision,0.9302832244008714,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,303,test,recall,0.9502967359050445,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,303,test,auroc,0.9757664669064434,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,101,test,mcc,0.8984789857838974,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,101,test,f1,0.9522942461762564,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,101,test,accuracy,0.9491064491064491,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,101,test,precision,0.9352646638054364,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,101,test,recall,0.9699554896142433,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,101,test,auroc,0.9844361896786249,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,202,test,mcc,0.8816809285765806,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,202,test,f1,0.9444545620105628,primary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,202,test,accuracy,0.9407536907536908,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,202,test,precision,0.9277280858676208,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,202,test,recall,0.9617952522255193,secondary
amp_hgt,amp_hgt,peptideclm-2-mlm-large,202,test,auroc,0.9810752198895348,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,303,test,mcc,0.8483857531832881,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,303,test,f1,0.929354664749236,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,303,test,accuracy,0.9236596736596736,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,303,test,precision,0.9016393442622951,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,303,test,recall,0.9588278931750742,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,303,test,auroc,0.9699421020084132,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,101,test,mcc,0.836895342096101,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,101,test,f1,0.9231333700238489,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,101,test,accuracy,0.9186091686091686,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,101,test,precision,0.9132486388384755,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,101,test,recall,0.9332344213649851,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,101,test,auroc,0.9695239095076508,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,202,test,mcc,0.8638353645025324,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,202,test,f1,0.9361934193782948,primary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,202,test,accuracy,0.9318181818181818,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,202,test,precision,0.9180035650623886,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,202,test,recall,0.9551186943620178,secondary
amp_hgt,amp_hgt,peptideclm-2-hybrid-large,202,test,auroc,0.9755108165804213,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,303,test,mcc,0.8670428739609197,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,303,test,f1,0.9374771480804388,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,303,test,accuracy,0.9335664335664335,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,303,test,precision,0.9242970439798125,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,303,test,recall,0.9510385756676558,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,303,test,auroc,0.9770205149553928,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,101,test,mcc,0.8090482774154402,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,101,test,f1,0.9113742375313958,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,101,test,accuracy,0.9040404040404041,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,101,test,precision,0.8825573314801946,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,101,test,recall,0.9421364985163204,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,101,test,auroc,0.9594101405743994,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,202,test,mcc,0.8832203618096485,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,202,test,f1,0.9451630533794863,primary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,202,test,accuracy,0.9415306915306916,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,202,test,precision,0.9287504475474401,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,202,test,recall,0.962166172106825,secondary
amp_hgt,amp_hgt,peptideclm-2-mtr-large,202,test,auroc,0.9799072458260923,primary
