relative_path,parent_dir,file_name,row_count,valid_row_count,dropped_row_count,r2,mse,rmse,mae,pearson,spearman,status,error_message
Hybrid/Hybrid_base_study_1.csv,Hybrid,Hybrid_base_study_1.csv,6701,6701,0,0.4637835291075628,0.3218347558057694,0.5673048173652058,0.4312047038087558,0.7003874881372262,0.643156956794545,ok,
Hybrid/Hybrid_base_study_2.csv,Hybrid,Hybrid_base_study_2.csv,6701,6701,0,0.5427126484471807,0.27446184723704714,0.5238910642844056,0.4001260230313876,0.7541845358498448,0.686751997167249,ok,
Hybrid/Hybrid_base_study_3.csv,Hybrid,Hybrid_base_study_3.csv,6701,6701,0,0.47708482980384337,0.3138513739182979,0.5602243960399242,0.4261944525968742,0.7038145978492937,0.6322679240060349,ok,
Hybrid/Hybrid_large_study_1.csv,Hybrid,Hybrid_large_study_1.csv,6701,6701,0,0.6620537408925363,0.20283385102719312,0.4503707928220847,0.33668318428685107,0.8174867640809238,0.75402532934972,ok,
Hybrid/Hybrid_large_study_2.csv,Hybrid,Hybrid_large_study_2.csv,6701,6701,0,0.5995153558164978,0.24036911333634253,0.49027452854124753,0.3671724067611705,0.7807968175859447,0.7160108801606246,ok,
Hybrid/Hybrid_large_study_3.csv,Hybrid,Hybrid_large_study_3.csv,6701,6701,0,0.5761525035063337,0.254391394031402,0.5043722772232847,0.37864157418958494,0.7817223708238583,0.7049537207293949,ok,
Hybrid/Hybrid_random_masking_round1.csv,Hybrid,Hybrid_random_masking_round1.csv,6701,6701,0,0.28034163463547124,0.43193577007285283,0.6572182058288197,0.5127720501009804,0.5672223262011776,0.4868710648976983,ok,
Hybrid/Hybrid_random_masking_round2.csv,Hybrid,Hybrid_random_masking_round2.csv,6701,6701,0,0.14338869527355136,0.5141343189594038,0.7170316024830452,0.5457041209599025,0.4843591744203714,0.42844083410803996,ok,
Hybrid/Hybrid_random_masking_round3.csv,Hybrid,Hybrid_random_masking_round3.csv,6701,6701,0,-0.020184464186867368,0.6123102062903286,0.7825025279769572,0.582636669267382,0.43116367667820366,0.3619904726984322,ok,
Hybrid/Hybrid_small_15p_span_masking_round1.csv,Hybrid,Hybrid_small_15p_span_masking_round1.csv,6701,6701,0,0.3212243394442955,0.4073981513441162,0.6382774877309368,0.5025724351550195,0.6105744077537796,0.534401142571603,ok,
Hybrid/Hybrid_small_15p_span_masking_round2.csv,Hybrid,Hybrid_small_15p_span_masking_round2.csv,6701,6701,0,0.24210594595284818,0.4548846614221934,0.6744513781008927,0.5119688297887113,0.5728194961622348,0.5108910634973086,ok,
Hybrid/Hybrid_small_15p_span_masking_round3.csv,Hybrid,Hybrid_small_15p_span_masking_round3.csv,6701,6701,0,0.21726693220402604,0.46979292768824754,0.6854144203970671,0.5132182305166213,0.5398033326307674,0.4881461750370889,ok,
Hybrid/Hybrid_small_deepchem_tokenizer_round1.csv,Hybrid,Hybrid_small_deepchem_tokenizer_round1.csv,6701,6701,0,0.24738970290498097,0.45171337385320753,0.6720962534140534,0.5261571819457416,0.6283742444135892,0.5458359788245828,ok,
Hybrid/Hybrid_small_deepchem_tokenizer_round2.csv,Hybrid,Hybrid_small_deepchem_tokenizer_round2.csv,6701,6701,0,0.14945164054430782,0.5104953660055154,0.7144895842526435,0.5518839690642933,0.5738335718425225,0.5090327390907825,ok,
Hybrid/Hybrid_small_deepchem_tokenizer_round3.csv,Hybrid,Hybrid_small_deepchem_tokenizer_round3.csv,6701,6701,0,0.34707860892931897,0.3918805330725242,0.6260036206544849,0.4732274137057755,0.6160660614132658,0.5765138228198757,ok,
Hybrid/Hybrid_small_study_1.csv,Hybrid,Hybrid_small_study_1.csv,6701,6701,0,0.3100496935068172,0.41410512444495867,0.6435100033759837,0.4968660888592177,0.6037401794458266,0.5451311422784951,ok,
Hybrid/Hybrid_small_study_2.csv,Hybrid,Hybrid_small_study_2.csv,6701,6701,0,0.12599190072844346,0.5245757981532628,0.7242760510697995,0.5680984581479243,0.558221674541649,0.5110809221395852,ok,
Hybrid/Hybrid_small_study_3.csv,Hybrid,Hybrid_small_study_3.csv,6701,6701,0,0.26040065580403693,0.4439042574303216,0.666261403227233,0.5149371124996817,0.5970633275582591,0.5505588100131872,ok,
Hybrid/random_init_round1.csv,Hybrid,random_init_round1.csv,6701,6701,0,-0.1332523217536008,0.6801730346531125,0.8247260361193361,0.6339438931050008,0.3595006552552425,0.38016223228371576,ok,
Hybrid/random_init_round2.csv,Hybrid,random_init_round2.csv,6701,6701,0,-0.05996332940979876,0.6361853053784743,0.7976122525252946,0.616082536587518,0.3342425935967509,0.330873344777457,ok,
Hybrid/random_init_round3.csv,Hybrid,random_init_round3.csv,6701,6701,0,-0.04345729097558726,0.626278454065321,0.7913775673250544,0.6160735502557567,0.32380433696671407,0.3461814318747364,ok,
MLM/MLM_base_study_1.csv,MLM,MLM_base_study_1.csv,6701,6701,0,0.5880656090452663,0.2472412007416853,0.49723354748215176,0.37739052853501037,0.7704628616542649,0.6980692880536811,ok,
